Date,Close,High,Low,Open,Volume,MA20,RSI,BB_High,BB_Low
2024-02-16,6.170000076293945,6.239999771118164,6.130000114440918,6.130000114440918,801705,6.271999955177307,25.776915334990292,6.662517554787794,5.8814823555668205
2024-02-19,6.210000038146973,6.340000152587891,6.170000076293945,6.179999828338623,1049370,6.227499961853027,30.87165281840531,6.318246932407769,6.136752991298286
2024-02-20,6.190000057220459,6.340000152587891,6.170000076293945,6.210000038146973,629386,6.224499964714051,29.77129184353872,6.316036902393302,6.1329630270347995
2024-02-21,6.199999809265137,6.269999980926514,6.190000057220459,6.190000057220459,1778125,6.224499964714051,31.093738966410044,6.316036902393302,6.1329630270347995
2024-02-22,6.199999809265137,6.25,6.179999828338623,6.210000038146973,604906,6.221999955177307,31.093738966410044,6.313345518465554,6.130654391889061
2024-02-23,6.159999847412109,6.340000152587891,6.159999847412109,6.199999809265137,712312,6.219999957084656,28.595674224653322,6.31486835725833,6.125131556910981
2024-02-26,6.190000057220459,6.21999979019165,6.110000133514404,6.159999847412109,868541,6.216999959945679,32.94678128572997,6.311678424780957,6.122321495110401
2024-02-27,6.199999809265137,6.289999961853027,6.190000057220459,6.199999809265137,623489,6.2144999504089355,34.38209627849663,6.308196332456188,6.1208035683616835
2024-02-28,6.179999828338623,6.210000038146973,6.110000133514404,6.199999809265137,1293443,6.208499932289124,32.86675833959558,6.294587124161128,6.122412740417119
2024-02-29,6.210000038146973,6.300000190734863,6.179999828338623,6.179999828338623,769739,6.205499935150146,37.32871298832858,6.2868571938312785,6.124142676469014
2024-03-01,6.21999979019165,6.329999923706055,6.170000076293945,6.210000038146973,799714,6.2004999160766605,38.78909329785532,6.263261298344638,6.137738533808683
2024-03-04,6.320000171661377,6.420000076293945,6.28000020980835,6.300000190734863,1850862,6.204999923706055,51.06862679035266,6.28587020150406,6.12412964590805
2024-03-05,6.420000076293945,6.610000133514404,6.300000190734863,6.329999923706055,2196606,6.213999938964844,59.761732179717065,6.337353155344806,6.090646722584882
2024-03-06,6.440000057220459,6.650000095367432,6.400000095367432,6.420000076293945,1676625,6.2234999418258665,61.244705248087726,6.381015101684361,6.065984781967372
2024-03-07,6.510000228881836,6.639999866485596,6.449999809265137,6.460000038146973,3303128,6.237999963760376,65.97173179455959,6.43895780940264,6.037042118118111
